Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,% of GDP in 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2021 Nominal GDP "
Guatemala,14,19,20,9,11,8,13,21,33,27,56,32,82,86,34,42,46,17,27,22,21,27,28,28,26,23,19,18,19,18,19,20,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,"85,974"
Guinea,20,21,22,20,22,10,11,14,23,18,27,37,18,46,48,60,52,39,56,45,41,39,51,81,36,26,34,28,23,83,23,44,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,"16,146"
Guinea-Bissau,12,20,15,15,13,3,,,,,,0,5,6,5,5,4,4,17,20,20,30,25,35,37,38,24,48,57,98,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,"1,703"
Guyana,0,0,3,9,9,9,23,18,22,27,27,24,53,50,81,55,48,61,72,86,128,138,184,123,122,132,138,139,142,149,130,197,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55,"7,717"
Haiti,0,0,0,0,0,0,0,0,0,0,11,19,22,31,39,60,76,96,117,135,167,240,232,248,249,247,266,298,309,285,549,678,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.23,"21,017"
Honduras,0,0,0,0,,,8,10,1,1,9,12,11,12,17,0,2,2,37,27,27,33,36,41,42,41,41,261,288,330,292,344,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21,"28,490"
"Hong Kong SAR, China",0,0,0,0,0,0,0,0,175,167,225,309,299,317,321,348,377,388,393,413,483,554,607,656,711,759,817,875,934,997,909,914,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,"369,158"
Hungary,0,0,0,0,0,517,459,399,379,348,301,315,392,484,582,697,798,"1,000","1,119",896,860,914,863,858,869,677,782,863,"1,094","1,387","1,353","1,623",0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89,"182,281"
Iceland,,,,,,21,16,20,16,14,23,14,21,19,28,54,82,115,101,68,67,73,66,73,95,85,140,325,356,377,291,341,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33,"25,602"
India,106,52,68,259,351,419,538,162,44,36,486,751,"1,187","1,265","1,653","1,348","1,562","2,059","3,812","2,890","3,829","4,078","4,963","6,432","6,222","4,883","5,623","6,959","6,782","7,532","7,011","8,181",0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,"3,176,296"
Indonesia,0,0,0,0,0,0,,,,,,,,0,913,"1,179","1,359","1,654","1,971","2,702","2,840","3,164","3,634","3,951","4,119","4,605","5,151","5,177","5,148","5,071","4,547","4,343",0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,"1,187,319"
"Iran, Islamic Rep.",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,"1,589,869"
Iraq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,781,17,31,27,48,78,548,484,599,539,350,396,500,664,581,852,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,"206,747"
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,440","1,853","2,520","2,673","2,551","2,266","2,195",954,910,934,704,694,"1,613",725,754,624,544,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,"504,517"
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0
Israel,850,795,"1,117",908,919,"1,407","2,025","2,399","2,874","3,081","3,255","3,039","2,781","2,502","2,218","2,206","2,381","2,824","3,679","3,465","3,769","4,251","4,220","4,837","4,837","4,733","5,004","5,873","5,902","6,243","5,776","6,809",1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39,"488,527"
Italy,"3,669","2,574","2,444","2,297","2,113","1,689","1,976","2,028","2,263","1,921","1,945","1,897","2,062","2,514","2,689","2,588","2,464","2,870","14,445","14,402","12,883","14,510","11,821","11,566","11,136","8,860","8,678","8,842","9,907","9,577","10,195","12,273",0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,"2,101,275"
